cbsa,pop,med_income,laborforce,employed,proptax,employment_rate
10020,58041,21933,26990,24897,240,0.922452760281586
10100,40612,27081,22781,22095,1767,0.969887186690663
10140,72272,22049,32368,27434,1509,0.84756549678695
10180,165083,22407,79106,70659,1267,0.89321922483756
10220,37438,21724,19158,17859,537,0.932195427497651
10260,19458,,5979,4600,247,0.769359424652952
10300,99878,23428,48814,42966,1999,0.880198303765313
10380,305538,,98173,75707,353,0.771159076324448
10420,702966,26109,374541,336146,2234,0.897487858472103
10460,64176,20712,28224,22843,592,0.809346655328798
10500,157634,20567,71893,61582,1146,0.856578526421209
10540,116871,23701,54434,49018,2090,0.90050336186942
10580,870890,31077,471782,436085,3826,0.924335816118461
10620,60489,22268,29810,26056,995,0.874069104327407
10660,31188,24530,16417,15582,1205,0.94913808856673
10700,93070,20484,42190,38301,452,0.907821758710595
10740,885683,26438,443222,403339,1541,0.910015748315742
10760,52839,20321,23703,20851,286,0.879677677931064
10780,153704,20790,67665,61881,454,0.914520062070494
10820,36167,25883,19512,18393,1578,0.942650676506765
10860,41014,19975,18457,17100,925,0.926477759115783
10880,111589,24819,55387,50565,2043,0.912939859533826
10900,821273,27607,427438,389409,3552,0.91103037165624
10940,42340,20870,18759,16482,1286,0.878618263233648
10980,29602,21068,13949,12350,1288,0.885368126747437
11020,127133,22731,62709,57879,1078,0.92297756302923
11060,26275,23858,12934,10701,538,0.827354260089686
11100,250224,25498,127296,120792,1942,0.948906485671191
11140,37388,18884,17125,14856,980,0.867503649635036
11180,89734,21072,52639,49541,2196,0.941146298371929
11220,50025,23905,24291,21503,2884,0.885224980445433
11260,380789,33219,211440,185897,3383,0.879195043511162
11300,131244,24806,62374,55181,895,0.884679513900023
11340,187228,22841,89215,79421,705,0.890220254441518
11380,15006,28053,7305,6907,909,0.945516769336071
11420,34116,23338,18334,16381,808,0.893476600850878
11460,346010,29197,186321,169510,3910,0.909773992196263
11500,117834,19649,54173,46788,428,0.863677477710299
11540,225737,30403,126725,119732,2937,0.944817518248175
11580,34628,18192,14093,12258,1098,0.86979351451075
11620,57007,21654,26098,24718,654,0.947122384857077
11660,23050,15072,10915,9635,513,0.882730187814934
11700,425219,24194,211076,192827,1186,0.913542989255055
11740,53203,23000,26729,23780,1478,0.889670395450634
11780,101262,20734,47290,42033,1500,0.888834848805244
11820,37068,22840,19101,16930,1846,0.886341029265484
11860,16854,21557,8255,7561,1360,0.915929739551787
11900,64592,12641,29732,26257,1487,0.883122561549845
11940,52325,20340,23488,21069,550,0.897011239782016
11980,78558,21384,34488,31341,1096,0.90875086986778
12020,193309,21145,92387,85262,1528,0.922878759998701
12060,5291701,29490,2803000,2492259,1799,0.889139850160542
12100,274402,26924,147279,129418,4978,0.878726770279538
12140,42218,24729,21182,18765,852,0.885893683316023
12180,79996,26004,40438,37066,2699,0.916613086700628
12220,140938,21080,71251,63363,752,0.889292781855693
12260,556938,24233,264284,230515,923,0.872224576591848
12300,122022,25211,63904,58528,1766,0.915873810716074
12380,39115,25405,20301,19101,1065,0.940889611349195
12420,1731777,30621,953224,880341,3861,0.923540531921143
12460,27815,20095,11436,10466,748,0.915180132913606
12540,839153,21005,365138,314751,1795,0.86200559788354
12580,2715650,34303,1481097,1349408,2765,0.911086849814698
12620,153742,21058,80724,74423,1627,0.921943907635895
12660,61953,26905,35245,32916,2947,0.933919704922684
12700,216021,31001,110878,101753,2701,0.917702339508288
12740,59462,29439,33684,31606,3659,0.938308989431184
12780,51112,25034,24497,22875,887,0.933787810752337
12820,27893,18531,11156,9966,253,0.893330942990319
12860,59992,26110,32347,29842,2910,0.922558506198411
12900,36572,20001,16928,15463,512,0.913456994328923
12940,802389,25874,409110,378381,704,0.924888171885312
12980,136063,22131,66429,57476,1891,0.865224525433169
13020,107633,23690,52807,46888,1808,0.887912587346375
13060,36653,21529,17231,15527,1188,0.901108467297313
13100,22209,24555,11554,10842,1934,0.938376319889216
13140,388430,23260,178454,161671,1411,0.905953354926199
13180,88741,26915,47382,43967,3010,0.927926216706766
13220,78852,20859,31853,29885,467,0.938216180579537
13260,46131,21908,21307,19171,788,0.899751255455954
13300,32083,18662,10835,9796,949,0.904107060452238
13340,45816,25021,22792,20326,1445,0.891804141804142
13380,201404,24486,106269,96174,2300,0.905005222595489
13420,44652,21092,22891,20487,1411,0.894980560045433
13460,158884,26014,80463,70758,2458,0.879385556094105
13500,28750,16822,10806,9151,360,0.846844345733852
13540,36990,24592,20109,18686,3367,0.929235665622358
13620,39188,22533,19775,18146,2613,0.917623261694058
13660,42947,17319,20167,17063,1406,0.846085188674567
13700,34927,22152,13467,12521,782,0.929754214004604
13740,158248,26420,86929,82535,1669,0.949453001875094
13780,250995,24058,126495,115915,2610,0.916360330447844
13820,1128093,25486,556631,502103,748,0.902039232453816
13860,18474,26641,9610,8911,1533,0.927263267429761
13900,109380,30630,63608,61286,2337,0.963495157841781
13940,45312,21304,20346,18967,975,0.932222549886956
13980,162708,19033,80302,74171,1065,0.923650718537521
14020,192663,18995,97794,89846,955,0.918727120273227
14060,169689,27979,94504,88146,3374,0.932722424447642
14100,85227,23149,42222,39706,1458,0.94041021268533
14140,107097,19178,43465,40549,473,0.932911538019096
14180,46388,18107,20708,18157,378,0.876810894340352
