zipcode,caseid,cutoffym,mean_commute
1001,85815210,201207,22.3975256769374
1001,90990102,201201,22.3975256769374
1002,82492508,201207,22.8624803149606
1002,88331953,201207,22.8624803149606
1002,90627707,201201,22.8624803149606
1002,92604663,201201,22.8624803149606
1005,83317318,201207,35.1911363636364
1007,93314978,201201,30.5599289326227
1010,90509625,201201,40.1119360365505
1013,84992570,201207,21.7548915917504
1020,82388236,201207,22.8529328119445
1020,94665930,201201,22.8529328119445
1022,89109926,201207,23.3812451960031
1027,83557682,201207,24.8996897068265
1027,90348093,201201,24.8996897068265
1027,93235064,201201,24.8996897068265
1027,94752559,201201,24.8996897068265
1028,93276544,201201,24.8625434143735
1030,86039415,201207,24.4509686267787
1034,91841162,201201,35.3699226305609
1040,80196017,201207,22.5314768235717
1040,87121111,201207,22.5314768235717
1040,92985157,201201,22.5314768235717
1040,94693849,201201,22.5314768235717
1056,84409265,201207,25.1671540469974
1056,90006245,201201,25.1671540469974
1057,80870223,201207,32.8786374915407
1060,86228639,201207,22.6297508988187
1060,90022450,201201,22.6297508988187
1060,90377525,201201,22.6297508988187
1062,84061485,201207,24.4762905162065
1062,91174525,201201,24.4762905162065
1069,92947007,201201,29.2388502191286
1075,84040248,201207,22.7456763800047
1075,91311254,201201,22.7456763800047
1077,89519374,201207,27.2465951300041
1082,90292646,201201,31.026228143214
1082,90981306,201201,31.026228143214
1085,80595795,201207,26.3418135075786
1085,83292433,201207,26.3418135075786
1085,91244567,201201,26.3418135075786
1085,93019152,201201,26.3418135075786
1089,85006353,201207,21.9234369006521
1089,89237892,201207,21.9234369006521
1089,94318124,201201,21.9234369006521
1095,94059922,201201,26.7991505791506
1105,94003868,201201,22.0595846101464
1106,86219767,201207,22.768362369338
1106,89934342,201207,22.768362369338
1106,91384061,201201,22.768362369338
1108,85012381,201207,24.8913043478261
1118,83021400,201207,24.5941874619598
1118,89530940,201207,24.5941874619598
1201,83810761,201207,20.5000989805008
1201,88692122,201207,20.5000989805008
1201,93116190,201201,20.5000989805008
1201,94852431,201201,20.5000989805008
1220,91861281,201201,22.8551724137931
1226,90041385,201201,20.5821610296318
1230,94987847,201201,20.4447290374764
1235,86922786,201207,27.1391129032258
1238,92017638,201201,19.1792638843247
1240,90016860,201201,17.3228404099561
1247,87591657,201207,23.4371036720248
1247,91732082,201201,23.4371036720248
1254,84968025,201207,26.0727482678984
1267,90835043,201201,15.3193569771296
1301,83942402,201207,23.960412084732
1301,90619430,201201,23.960412084732
1301,91733520,201201,23.960412084732
1341,82453488,201207,27.4693530079455
1375,93109071,201201,24.5264986967854
1420,85627150,201207,28.2004387247733
1420,91705602,201201,28.2004387247733
1420,91729729,201201,28.2004387247733
1420,92102404,201201,28.2004387247733
1432,90550654,201201,30.2441574415744
1440,81578012,201207,27.8769725306838
1440,90920882,201201,27.8769725306838
1440,93393919,201201,27.8769725306838
1440,94148572,201201,27.8769725306838
1450,93120106,201201,35.2754802038416
1453,93463308,201201,29.3730646225697
1460,87741797,201207,33.9574894279991
1460,93046167,201201,33.9574894279991
1462,93585152,201201,33.5150104503135
1462,94624272,201201,33.5150104503135
1469,93744249,201201,37.2032293986637
1473,93916514,201201,30.1030844155844
1501,91916181,201201,27.4616997656346
1505,86773317,201207,30.816907986922
1519,86129286,201207,38.7182657434883
1520,92495777,201201,29.793993906862
1520,94365575,201201,29.793993906862
1523,84917461,201207,28.8886349786715
1523,89681918,201207,28.8886349786715
1527,85149269,201207,29.9778837814397
1527,88253635,201207,29.9778837814397
1532,80435958,201207,31.9610208816705
1532,80580139,201207,31.9610208816705
1532,82572978,201207,31.9610208816705
1532,88286099,201207,31.9610208816705
1532,91392909,201201,31.9610208816705
1550,87169926,201207,24.7638172966781
1566,90524187,201201,33.3875394321767
1569,81967456,201207,34.4322916666667
1569,94652163,201201,34.4322916666667
1570,92831795,201201,27.9921772285038
1570,94970296,201201,27.9921772285038
1581,90723113,201201,33.2138522581398
1590,93219130,201201,33.591943762553
1602,80486941,201207,26.8352151493599
1602,85442278,201207,26.8352151493599
1602,91902540,201201,26.8352151493599
1602,92134768,201201,26.8352151493599
1602,93390794,201201,26.8352151493599
1603,82352415,201207,28.2523158869847
1603,86880729,201207,28.2523158869847
1603,93587866,201201,28.2523158869847
1604,82735504,201207,25.4373268921095
1604,84108951,201207,25.4373268921095
1605,94580444,201201,23.8230832495659
1607,90931226,201201,27.8162267839687
1607,92800689,201201,27.8162267839687
1608,87541447,201207,21.3389671361502
1609,86588490,201207,25.2166647590706
1610,89992986,201207,25.8912466843501
1610,93853374,201201,25.8912466843501
1701,80179337,201207,32.7971051295074
1701,85150023,201207,32.7971051295074
1701,89191846,201207,32.7971051295074
1701,90694044,201201,32.7971051295074
1702,92407846,201201,28.416102428346
1720,89809833,201207,37.4278533412182
1720,94853269,201201,37.4278533412182
1721,86248132,201207,35.4071148398344
1730,85620151,201207,27.9584376564847
1730,92961674,201201,27.9584376564847
1740,89863639,201207,34.7477159468439
1740,94630198,201201,34.7477159468439
1741,89216927,201207,36.188679245283
1742,84695666,201207,36.3671626697486
1742,92681824,201201,36.3671626697486
1742,92952216,201201,36.3671626697486
1742,93461096,201201,36.3671626697486
1747,92476002,201201,31.1242753623188
1749,80827236,201207,29.2378466557912
1749,89017656,201207,29.2378466557912
1752,84869300,201207,30.5317871890906
1752,93152198,201201,30.5317871890906
1752,93333876,201201,30.5317871890906
1752,94732195,201201,30.5317871890906
1760,80820572,201207,33.9322996804356
1760,90008463,201201,33.9322996804356
1760,91911560,201201,33.9322996804356
1760,93957629,201201,33.9322996804356
1773,82250753,201207,30.2706084396467
1773,85929377,201207,30.2706084396467
1775,93156084,201201,33.9438115763547
1776,86276153,201207,35.585267613326
1776,89925676,201207,35.585267613326
1778,81687053,201207,32.7934743954481
1801,85989139,201207,27.3279434546863
1801,91603481,201201,27.3279434546863
1801,92676932,201201,27.3279434546863
1801,94195503,201201,27.3279434546863
1803,81949377,201207,30.2345004818503
1810,82543129,201207,32.4121347267523
1830,94773826,201201,31.280846515605
1834,88723651,201207,35.184187408492
1841,90749999,201201,24.8133505792374
1841,90758478,201201,24.8133505792374
1844,90874426,201201,29.2459691708009
1845,94515594,201201,32.9114971050455
1851,81286353,201207,27.9874906367041
1851,91351184,201201,27.9874906367041
1852,80091729,201207,28.3534511283171
1852,90680467,201201,28.3534511283171
1854,80154400,201207,27.3787119015905
1854,80928795,201207,27.3787119015905
1854,93281306,201201,27.3787119015905
1860,92651322,201201,36.4032902829028
