caseid,version,maindate,cutoffym,state,zipcode,income1,income2,income3,income4,income5,income_original,income_flg,age,age_flg,disabled,dobyr,edu_cat,edu_cat_flg,employ_stat,employ_stat_flg,hisp_race,hisp_race_flg,male,male_flg,memovr18,memund18,memund18_flg,retired,student,workfull,workpart,wgt_m1,wgt_m2,wgt_m3_6,wgt_m7,wgt_m8,wgt_m9_12,wgt_partial
80000075,"0111","20130128","201207","CA","92308",67656.563,40530.389,83595.509,77398.028,55468.268,-7,1,60,0,1,1952,2,0,4,0,3,0,1,0,1,1,0,2,2,2,-1,42634.75764,0,0,40149.36012,50078.22207,80298.72001,.9032258
80000253,"0111","20130211","201207","MD","20706",85000,85000,85000,85000,85000,85000,0,52,0,-1,1960,3,0,1,0,2,0,0,0,2,0,0,-1,-1,1,-1,3802.052201,5416.156133,0,3712.752506,4407.373233,7425.504637,.3928571
80000936,"0111","20130116","201207","NJ","07090",55945.737,11065.779,55378.992,185577.83,86000.204,-7,1,74,0,-1,1938,1,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,5114.937006,0,0,4878.112479,6059.477076,9756.225092,.516129
80002668,"0111","20130202","201207","NC","27613",82000,82000,82000,82000,82000,82000,0,42,0,-1,1970,3,0,1,0,3,0,1,0,2,2,0,-1,-1,1,-1,6624.100872,0,0,6475.012263,7606.783328,12950.02479,0
80003272,"0111","20130122","201207","NV","89511",105551.2,111344.33,105581.09,114464.11,125426.56,-7,1,66,0,2,1946,3,0,2,0,3,0,1,0,2,0,0,2,2,2,1,1968.430009,0,0,1885.032299,2291.098172,3770.064649,.7096774
80004569,"0111","20130220","201207","TN","37807",129000,129000,129000,129000,129000,129000,0,75,0,-1,1937,1,0,1,0,3,0,0,0,4,3,0,-1,-1,1,-1,1162.812495,1767.431206,0,1123.480958,1336.118644,2246.961948,.7142857
80006219,"0102","20130104","201207","NC","27858",50000,50000,50000,50000,50000,50000,0,74,0,2,1938,3,0,2,0,3,0,1,0,1,0,0,2,2,2,1,0,0,0,1742.315437,2117.637834,3484.630922,0
80006394,"0111","20130213","201207","MD","21208",45000,45000,45000,45000,45000,45000,0,34,0,-1,1978,3,0,1,0,2,0,0,0,1,0,0,-1,-1,1,-1,4664.938014,6461.883627,0,4620.97249,5467.143879,9241.944925,.4642857
80008268,"0111","20130127","201207","NY","13760",75000,75000,75000,75000,75000,75000,0,78,0,-1,1934,3,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,2666.719463,0,0,2553.736885,3103.852338,5107.47384,.8709677
80009238,"0111","20130121","201207","WV","25517",86000,86000,86000,86000,86000,86000,0,35,0,-1,1977,1,0,1,0,3,0,0,0,3,3,0,-1,-1,1,-1,16605.14074,0,0,16164.74734,19408.31381,32329.49534,.6774194
