caseid,wgt,month,year,trips_single,trips_md,des_name,des_direction,des_address,des_primary_city,des_secondary_city,des_state,des_county,des_zipcode,site_id_agg,lat_lon_des,lat_lon_des_agg,days,es_origin,es_origin_zip,es_origin_city,es_origin_state,md_days_rec,travel_others,travel_others_num
80003508,4938.5413,1,2013,8,0,"ANNA MARIA ISLAND","","","","","FL","MANATEE","",51,"27.5039N,82.7145W","27.5039N,82.7145W",,0,"-1","-1","-1",,,
80003508,12490.925,3,2013,1,0,"ANNA MARIA ISLAND","","","","","FL","MANATEE","",51,"27.5039N,82.7145W","27.5039N,82.7145W",1,0,"-1","-1","-1",-1,1,-1
80003508,4938.5413,1,2013,0,1,"ANNA MARIA ISLAND","","","","","FL","MANATEE","",51,"27.5039N,82.7145W","27.5039N,82.7145W",5,0,"-1","-1","-1",5,2,1
80009809,1671.0137,11,2012,1,0,"JEKYLL ISLAND","","","","","GA","GLYNN","",82,"31.0563N,81.4059W","31.1352N,81.4005W",1,0,"-1","-1","-1",-1,2,4
80010467,2221.4108,3,2013,0,1,"","","","PERDIDO KEY","","FL","","",22,"30.3085N,87.4268W","30.3085N,87.4268W",5,0,"-1","-1","-1",1,2,2
80020943,1694.9306,12,2012,1,0,"SIESTA KEY BEACH","","","SIESTA KEY","","FL","","",52,"27.2619N,82.5483W","27.2619N,82.5483W",1,0,"-1","-1","-1",-1,2,3
80021799,3469.5834,12,2012,1,0,"","","","GALVESTON","","TX","GALVESTON","",6,"29.2953N,94.8079W","29.2953N,94.8079W",1,0,"-1","-1","-1",-1,2,3
80021799,3469.5834,12,2012,1,0,"","","","QUINTANA","","TX","BRAZORIA","",5,"28.9308N,95.3061W","28.9635N,95.2728W",,0,"-1","-1","-1",,,
80032889,311.83195,3,2013,1,0,"NAPLES BEACH","","","","","FL","","",59,"26.1304N,81.8062W","26.1390N,81.7957W",1,0,"-1","-1","-1",-1,2,2
80032889,293.78414,2,2013,3,0,"","","","GOODLAND","","FL","COLLIER","",60,"25.9238N,81.6476W","25.9536N,81.7244W",,0,"-1","-1","-1",,,
80032889,293.78414,2,2013,1,0,"","","","MARCO ISLAND","","FL","","",60,"25.9536N,81.7244W","25.9536N,81.7244W",1,0,"-1","-1","-1",-1,1,-1
80032889,311.83195,3,2013,1,0,"","","","MARCO ISLAND","","FL","","",60,"25.9536N,81.7244W","25.9536N,81.7244W",1,0,"-1","-1","-1",-1,2,2
80041939,344.01726,2,2013,0,1,"","","","ORANGE BEACH","","AL","BALDWIN","",21,"30.2950N,87.5748W","30.2950N,87.5748W",7,0,"-1","-1","-1",1,2,1
80041966,629.78904,4,2013,1,0,"","","","GULFPORT","","MS","HARRISON","",15,"30.3803N,89.0923W","30.3803N,89.0923W",1,0,"-1","-1","-1",-1,1,-1
80046176,347.18335,1,2013,0,1,"","","","GULFPORT","","MS","HARRISON","",15,"30.3803N,89.0923W","30.3803N,89.0923W",2,0,"-1","-1","-1",2,2,1
80046550,6734.3656,3,2013,1,0,"VILANO BEACH","","","","","FL","","",78,"29.9564N,81.3049W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,1
80046550,13298.033,4,2013,1,0,"VILANO BEACH","","","","","FL","","",78,"29.9564N,81.3049W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,1
80046550,13298.033,4,2013,1,0,"VILANO BEACH","","","","","FL","","",78,"29.9564N,81.3049W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,1
80049159,8919.9628,1,2013,0,1,"","","","COCOA BEACH","","FL","","",73,"28.3175N,80.6100W","28.3175N,80.6100W",3,0,"-1","-1","-1",2,2,2
