caseid,wgt,month,year,trips,des_name,des_address,des_primary_city,des_secondary_city,des_state,des_county,des_zipcode,site_id_agg,lat_lon_des,lat_lon_des_agg,days,days_recreation,travel_others,travel_others_num,mode_chosen,car_rental,travel_mode,travel_mode_other
80002668,6475.012,7,2012,1,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",8,4,2,3,"Car",-1,1,"-1"
80027287,12495.46,9,2012,1,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",10,9,2,5,"Car",-1,1,"-1"
80095585,2885.28,12,2012,1,"","","ORANGE BEACH","","AL","BALDWIN","",21,"30.2950N,87.5748W","30.2950N,87.5748W",7,5,2,1,"Car",-1,1,"-1"
80123460,6398.173,7,2012,1,"","","GALVESTON","","TX","GALVESTON","",6,"29.2953N,94.8079W","29.2953N,94.8079W",7,6,1,-1,"Plane",2,2,"-1"
80139377,4957.934,9,2012,1,"PADRE ISLAND NATIONAL SEASHORE","20420 PARK ROAD 22","CORPUS CHRISTI","","TX","NUECES","",2,"27.4241N,97.2991W","27.8628N,97.3391W",7,6,2,1,"Car",-1,1,"-1"
80154400,6186.697,7,2012,1,"","","TAMPA","","FL","HILLSBOROUGH","",-1,"","",6,4,2,6,"Car",-1,1,"-1"
80185691,723.7602,8,2012,1,"","","PANAMA CITY BEACH","","FL","BAY","",31,"30.1916N,85.8324W","30.1916N,85.8324W",7,6,2,1,"Plane",2,2,"-1"
80220912,9617.71,7,2012,1,"","","MIAMI","","FL","MIAMI-DADE","",63,"25.7289N,80.2374W","25.7930N,80.1349W",,,,,"",,,""
80231477,16974.4,10,2012,.07807372,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",5,1,2,0,"Plane",2,2,"-1"
80231477,8383.189,1,2013,.05661017,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",5,1,2,0,"Plane",2,2,"-1"
80231477,8487.199,7,2012,.24865164,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",5,1,2,0,"Plane",2,2,"-1"
80231477,11629,2,2013,.06290926,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",5,1,2,0,"Plane",2,2,"-1"
80231477,16974.4,12,2012,.06439964,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",5,1,2,0,"Plane",2,2,"-1"
80231477,16974.4,11,2012,.05613356,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",5,1,2,0,"Plane",2,2,"-1"
80231477,16974.4,9,2012,.11847165,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",5,1,2,0,"Plane",2,2,"-1"
80231477,10338.53,8,2012,.26679618,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",5,1,2,0,"Plane",2,2,"-1"
80233716,12045.29,9,2012,1,"","","NAPLES","","FL","COLLIER","",59,"26.1390N,81.7957W","26.1390N,81.7957W",5,3,2,1,"Plane",1,2,"-1"
80246350,1151.391,11,2012,1,"","","SANIBEL","","FL","LEE","",57,"26.4393N,82.0718W","26.4486N,81.9427W",16,14,2,1,"Car",-1,1,"-1"
80318882,3503.249,9,2012,1,"","","GULF SHORES","","AL","BALDWIN","",20,"30.2773N,87.6830W","30.2773N,87.6830W",28,7,2,1,"Car",-1,1,"-1"
80368122,8782.155,8,2012,1,"","","CLEARWATER","","FL","PINELLAS","",44,"27.9655N,82.7997W","28.0000N,82.8286W",12,2,2,0,"Plane",2,2,"-1"
80412959,4783.91,8,2012,1,"","","NEW ORLEANS","","LA","ORLEANS","",12,"29.9537N,90.0777W","29.9537N,90.0777W",4,1,2,1,"Car",-1,1,"-1"
80427319,1165.976,11,2012,1,"","","JUPITER","","FL","PALM BEACH","",68,"26.9319N,80.1019W","27.0591N,80.1364W",14,14,2,1,"Car",-1,1,"-1"
80483089,4334.54,10,2012,1,"","","FORT LAUDERDALE","","FL","BROWARD","",64,"26.1236N,80.1435W","26.0088N,80.1250W",9,2,2,2,"Plane",2,2,"-1"
80486941,9872.938,2,2013,1,"","","FORT MYERS","","FL","LEE","",57,"26.6408N,81.8681W","26.4486N,81.9427W",10,6,1,-1,"Plane",2,2,"-1"
80486941,11952.22,11,2012,1,"","","FORT MYERS","","FL","LEE","",57,"26.6408N,81.8681W","26.4486N,81.9427W",14,10,2,8,"Plane",2,2,"-1"
80486941,5976.11,7,2012,.64742347,"","","FORT MYERS","","FL","LEE","",57,"26.6408N,81.8681W","26.4486N,81.9427W",,,,,"",,,""
80486941,11952.22,11,2012,.14615701,"","","FORT MYERS","","FL","LEE","",57,"26.6408N,81.8681W","26.4486N,81.9427W",,,,,"",,,""
80486941,11952.22,9,2012,.30846901,"","","FORT MYERS","","FL","LEE","",57,"26.6408N,81.8681W","26.4486N,81.9427W",,,,,"",,,""
80486941,7055.423,8,2012,.69466706,"","","FORT MYERS","","FL","LEE","",57,"26.6408N,81.8681W","26.4486N,81.9427W",,,,,"",,,""
80486941,11952.22,10,2012,.20328344,"","","FORT MYERS","","FL","LEE","",57,"26.6408N,81.8681W","26.4486N,81.9427W",,,,,"",,,""
80510257,1936.325,7,2012,1,"","","GALVESTON","","TX","GALVESTON","",6,"29.2953N,94.8079W","29.2953N,94.8079W",6,3,2,1,"Car",-1,1,"-1"
80533546,9334.692,7,2012,1,"","","SAINT PETERSBURG","CLEARWATER","FL","","",-1,"","",16,16,2,3,"Car",-1,1,"-1"
80537478,9562.431,11,2012,1,"","","NAPLES","","FL","COLLIER","",59,"26.1390N,81.7957W","26.1390N,81.7957W",6,2,2,1,"Plane",1,2,"-1"
80585808,1465.939,7,2012,1,"","","DAYTONA BEACH","","FL","VOLUSIA","",75,"29.2035N,81.0394W","29.2035N,81.0394W",8,6,2,4,"Car",-1,1,"-1"
80585808,1465.939,7,2012,15,"","","DAYTONA BEACH","","FL","VOLUSIA","",75,"29.2035N,81.0394W","29.2035N,81.0394W",,,,,"",,,""
80585808,1465.939,7,2012,1,"","","SAINT PETERSBURG","","FL","PINELLAS","",-1,"","",,,,,"",,,""
80585808,1465.939,7,2012,2,"","","FORT LAUDERDALE","","FL","BROWARD","",64,"26.1236N,80.1435W","26.0088N,80.1250W",,,,,"",,,""
80585808,1465.939,7,2012,3,"","","MIAMI","","FL","MIAMI-DADE","",63,"25.7289N,80.2374W","25.7930N,80.1349W",,,,,"",,,""
80585808,1465.939,7,2012,1,"","","ORMOND BEACH","","FL","VOLUSIA","",76,"29.2853N,81.0554W","29.3802N,81.0805W",,,,,"",,,""
80593492,9919.408,7,2012,1,"","","JACKSONVILLE","","FL","DUVAL","",-1,"","",5,2,2,5,"Car",-1,1,"-1"
80610577,3224.934,10,2012,1,"","","DAYTONA BEACH","","FL","VOLUSIA","",75,"29.2035N,81.0394W","29.2035N,81.0394W",7,7,2,1,"Car",-1,1,"-1"
80629953,3422.46,9,2012,1,"","","ORANGE BEACH","","AL","BALDWIN","",21,"30.2950N,87.5748W","30.2950N,87.5748W",4,2,2,2,"Car",-1,1,"-1"
80640734,7513.823,9,2012,1,"","","ORMOND BEACH","DAYTONA BEACH","FL","","",76,"29.2853N,81.0554W","29.3802N,81.0805W",6,4,2,1,"Car",-1,1,"-1"
80640734,7513.823,9,2012,.18688754,"","","NEW ORLEANS","","LA","ORLEANS","",12,"29.9537N,90.0777W","29.9537N,90.0777W",,,,,"",,,""
80640734,4459.794,8,2012,.42086762,"","","NEW ORLEANS","","LA","ORLEANS","",12,"29.9537N,90.0777W","29.9537N,90.0777W",,,,,"",,,""
80640734,3756.912,7,2012,.39224484,"","","NEW ORLEANS","","LA","ORLEANS","",12,"29.9537N,90.0777W","29.9537N,90.0777W",,,,,"",,,""
80659987,1373.766,7,2012,1,"","","MIAMI","","FL","MIAMI-DADE","",63,"25.7289N,80.2374W","25.7930N,80.1349W",7,4,2,8,"Plane",2,2,"-1"
80663144,4194.873,7,2012,1,"","","DESTIN","","FL","","",27,"30.3929N,86.4957W","30.3929N,86.4957W",9,7,2,3,"Car",-1,1,"-1"
80681988,2828.604,1,2013,1,"","","JUPITER","","FL","PALM BEACH","",68,"26.9319N,80.1019W","27.0591N,80.1364W",8,3,2,1,"Plane",2,2,"-1"
80681988,5068.008,11,2012,1,"","","JUPITER","","FL","PALM BEACH","",68,"26.9319N,80.1019W","27.0591N,80.1364W",18,2,2,1,"Plane",1,2,"-1"
80724353,837.8983,7,2012,1,"","","NAPLES","","FL","COLLIER","",59,"26.1390N,81.7957W","26.1390N,81.7957W",7,2,2,3,"Plane",1,2,"-1"
80742076,1895.554,8,2012,1,"","","SAINT PETERSBURG","","FL","PINELLAS","",-1,"","",4,3,2,1,"Plane",2,2,"-1"
80748395,12455.25,1,2013,1,"","","BOCA RATON","","FL","PALM BEACH","",65,"26.3504N,80.0890W","26.2212N,80.0897W",5,1,1,-1,"Plane",2,2,"-1"
80748395,24092.69,9,2012,.26648696,"","","BOCA RATON","","FL","PALM BEACH","",65,"26.3504N,80.0890W","26.2212N,80.0897W",,,,,"",,,""
80748395,24092.69,12,2012,.14485883,"","","BOCA RATON","","FL","PALM BEACH","",65,"26.3504N,80.0890W","26.2212N,80.0897W",,,,,"",,,""
80748395,12257.95,8,2012,.60012418,"","","BOCA RATON","","FL","PALM BEACH","",65,"26.3504N,80.0890W","26.2212N,80.0897W",,,,,"",,,""
80748395,24092.69,10,2012,.17561695,"","","BOCA RATON","","FL","PALM BEACH","",65,"26.3504N,80.0890W","26.2212N,80.0897W",,,,,"",,,""
80748395,12046.34,7,2012,.55931036,"","","BOCA RATON","","FL","PALM BEACH","",65,"26.3504N,80.0890W","26.2212N,80.0897W",,,,,"",,,""
80748395,12455.25,1,2013,.1273374,"","","BOCA RATON","","FL","PALM BEACH","",65,"26.3504N,80.0890W","26.2212N,80.0897W",,,,,"",,,""
80748395,24092.69,11,2012,.12626532,"","","BOCA RATON","","FL","PALM BEACH","",65,"26.3504N,80.0890W","26.2212N,80.0897W",,,,,"",,,""
80752682,1996.906,8,2012,1,"","","BRADENTON","","FL","MANATEE","",50,"27.4955N,82.5780W","27.5157N,82.5729W",4,1,2,1,"Car",-1,1,"-1"
80761479,10513.72,8,2012,1,"","","SARASOTA","","FL","SARASOTA","",52,"27.3388N,82.5396W","27.2619N,82.5483W",7,4,2,4,"Plane",1,2,"-1"
80778477,19231.13,10,2012,.0843963,"","","FORT MYERS BEACH","","FL","LEE","",57,"26.4486N,81.9427W","26.4486N,81.9427W",-8,-1,2,1,"Plane",1,2,"-1"
80778477,19231.13,12,2012,.06961486,"","","FORT MYERS BEACH","","FL","LEE","",57,"26.4486N,81.9427W","26.4486N,81.9427W",-8,-1,2,1,"Plane",1,2,"-1"
80778477,19231.13,11,2012,.06067937,"","","FORT MYERS BEACH","","FL","LEE","",57,"26.4486N,81.9427W","26.4486N,81.9427W",-8,-1,2,1,"Plane",1,2,"-1"
80778477,11366.95,8,2012,.28840189,"","","FORT MYERS BEACH","","FL","LEE","",57,"26.4486N,81.9427W","26.4486N,81.9427W",-8,-1,2,1,"Plane",1,2,"-1"
80778477,19231.13,9,2012,.12806573,"","","FORT MYERS BEACH","","FL","LEE","",57,"26.4486N,81.9427W","26.4486N,81.9427W",-8,-1,2,1,"Plane",1,2,"-1"
80778477,24441.9,2,2013,.03885931,"","","FORT MYERS BEACH","","FL","LEE","",57,"26.4486N,81.9427W","26.4486N,81.9427W",-8,-1,2,1,"Plane",1,2,"-1"
80778477,9615.563,7,2012,.26878797,"","","FORT MYERS BEACH","","FL","LEE","",57,"26.4486N,81.9427W","26.4486N,81.9427W",-8,-1,2,1,"Plane",1,2,"-1"
80778477,9682.956,1,2013,.06119458,"","","FORT MYERS BEACH","","FL","LEE","",57,"26.4486N,81.9427W","26.4486N,81.9427W",-8,-1,2,1,"Plane",1,2,"-1"
80780368,830.6082,7,2012,1,"","","PANAMA CITY BEACH","","FL","BAY","",31,"30.1916N,85.8324W","30.1916N,85.8324W",3,3,2,4,"Car",-1,1,"-1"
80782278,32356.72,9,2012,1,"","","MIAMI","","FL","MIAMI-DADE","",63,"25.7289N,80.2374W","25.7930N,80.1349W",5,2,2,1,"Plane",2,2,"-1"
80784375,2897.59,10,2012,1,"","","FERNANDINA BEACH","","FL","NASSAU","",81,"30.6699N,81.4636W","30.6699N,81.4636W",10,6,2,1,"Car",-1,1,"-1"
80797151,1505.106,1,2013,1,"","","NAPLES","","FL","COLLIER","",59,"26.1390N,81.7957W","26.1390N,81.7957W",3,3,2,1,"Plane",2,2,"-1"
80815390,4334.54,10,2012,1,"","","PANAMA CITY BEACH","","FL","BAY","",31,"30.1916N,85.8324W","30.1916N,85.8324W",5,3,2,4,"Car",-1,1,"-1"
80845267,18117.56,10,2012,1,"","","MIAMI","","FL","MIAMI-DADE","",63,"25.7289N,80.2374W","25.7930N,80.1349W",7,3,2,3,"Plane",1,2,"-1"
80852760,2747.533,10,2012,1,"","","ORANGE BEACH","","AL","BALDWIN","",21,"30.2950N,87.5748W","30.2950N,87.5748W",9,9,1,-1,"Plane",1,2,"-1"
80857215,1448.795,7,2012,1,"","","FLAGLER BEACH","","FL","FLAGLER","",77,"29.4810N,81.1275W","29.4810N,81.1275W",7,7,2,3,"Car",-1,1,"-1"
80857747,13147.15,1,2013,1,"","","MIAMI","","FL","MIAMI-DADE","",63,"25.7289N,80.2374W","25.7930N,80.1349W",7,6,2,2,"Plane",1,2,"-1"
80889195,514.4879,8,2012,1,"HOLLYWOOD BEACH","","FORT LAUDERDALE","","FL","","",64,"26.0094N,80.1158W","26.0088N,80.1250W",8,4,2,1,"Plane",1,2,"-1"
80893080,2703.865,12,2012,1,"","","FERNANDINA BEACH","","FL","NASSAU","",81,"30.6699N,81.4636W","30.6699N,81.4636W",10,4,2,2,"Car",-1,1,"-1"
80899019,2708.166,7,2012,1,"","","GULF SHORES","","AL","BALDWIN","",20,"30.2773N,87.6830W","30.2773N,87.6830W",7,7,2,3,"Car",-1,1,"-1"
80935047,7806.077,7,2012,1,"","","WEST PALM BEACH","","FL","PALM BEACH","",67,"26.7143N,80.0526W","26.7159N,80.0331W",10,5,2,3,"Car",-1,1,"-1"
80951168,2117.638,8,2012,.51760075,"","","DUCK KEY","","FL","MONROE","",62,"24.7789N,80.9148W","24.9602N,80.5678W",,,,,"",,,""
80951168,1742.315,7,2012,.48239925,"","","DUCK KEY","","FL","MONROE","",62,"24.7789N,80.9148W","24.9602N,80.5678W",,,,,"",,,""
80960179,12056.88,8,2012,1,"","","DESTIN","","FL","","",27,"30.3929N,86.4957W","30.3929N,86.4957W",6,3,2,1,"Car",-1,1,"-1"
80970776,14991.84,12,2012,1,"","","PENSACOLA","","FL","ESCAMBIA","",-1,"","",4,1,2,2,"Plane",1,2,"-1"
80986179,5452.055,12,2012,1,"","","SAINT PETE BEACH","","FL","","",46,"27.7247N,82.7437W","27.7247N,82.7437W",6,5,2,2,"Plane",1,2,"-1"
81030118,629.0287,8,2012,1,"","","DAYTONA BEACH","","FL","VOLUSIA","",75,"29.2035N,81.0394W","29.2035N,81.0394W",14,6,2,3,"Car",-1,1,"-1"
81037975,2221.872,2,2013,1,"","","SARASOTA","","FL","SARASOTA","",52,"27.3388N,82.5396W","27.2619N,82.5483W",18,3,2,1,"Car",-1,1,"-1"
81039568,2218.854,10,2012,.10965516,"","","DAYTONA BEACH","","FL","VOLUSIA","",75,"29.2035N,81.0394W","29.2035N,81.0394W",,,,,"",,,""
81039568,1109.427,7,2012,.34923318,"","","DAYTONA BEACH","","FL","VOLUSIA","",75,"29.2035N,81.0394W","29.2035N,81.0394W",,,,,"",,,""
81039568,2218.854,9,2012,.16639436,"","","DAYTONA BEACH","","FL","VOLUSIA","",75,"29.2035N,81.0394W","29.2035N,81.0394W",,,,,"",,,""
81039568,1319.405,8,2012,.37471731,"","","DAYTONA BEACH","","FL","VOLUSIA","",75,"29.2035N,81.0394W","29.2035N,81.0394W",,,,,"",,,""
81090587,552.1898,1,2013,1,"","","PUNTA GORDA","","FL","CHARLOTTE","",56,"26.9329N,82.0528W","26.9834N,82.1016W",21,10,2,2,"Plane",2,2,"-1"
81115882,6715.26,9,2012,1,"","","SAINT PETERSBURG","","FL","PINELLAS","",-1,"","",7,3,2,1,"Car",-1,1,"-1"
81115882,6715.26,9,2012,.25182439,"SAINT SIMONS ISLAND","","SAINT SIMONS","","GA","GLYNN","",82,"31.1595N,81.3885W","31.1352N,81.4005W",,,,,"",,,""
81115882,3357.63,7,2012,.52853614,"SAINT SIMONS ISLAND","","SAINT SIMONS","","GA","GLYNN","",82,"31.1595N,81.3885W","31.1352N,81.4005W",,,,,"",,,""
81115882,6715.26,10,2012,.1659542,"SAINT SIMONS ISLAND","","SAINT SIMONS","","GA","GLYNN","",82,"31.1595N,81.3885W","31.1352N,81.4005W",,,,,"",,,""
81115882,4170.77,8,2012,.56710432,"SAINT SIMONS ISLAND","","SAINT SIMONS","","GA","GLYNN","",82,"31.1595N,81.3885W","31.1352N,81.4005W",,,,,"",,,""
81115882,6715.26,12,2012,.13688845,"SAINT SIMONS ISLAND","","SAINT SIMONS","","GA","GLYNN","",82,"31.1595N,81.3885W","31.1352N,81.4005W",,,,,"",,,""
81115882,6715.26,11,2012,.11931798,"SAINT SIMONS ISLAND","","SAINT SIMONS","","GA","GLYNN","",82,"31.1595N,81.3885W","31.1352N,81.4005W",,,,,"",,,""
81115882,4365.591,1,2013,.09704119,"SAINT SIMONS ISLAND","","SAINT SIMONS","","GA","GLYNN","",82,"31.1595N,81.3885W","31.1352N,81.4005W",,,,,"",,,""
81119291,2739.233,12,2012,1,"","","PALM COAST","","FL","FLAGLER","",77,"29.5492N,81.2300W","29.4810N,81.1275W",15,2,2,5,"Car",-1,1,"-1"
81119291,1369.617,7,2012,1,"","","PALM COAST","","FL","FLAGLER","",77,"29.5492N,81.2300W","29.4810N,81.1275W",30,20,2,4,"Car",-1,1,"-1"
81150847,5062.625,12,2012,1,"LONG BOAT","","LONGBOAT KEY","","FL","MANATEE","",52,"27.4054N,82.6545W","27.2619N,82.5483W",17,1,2,1,"Plane",1,2,"-1"
81192164,5043.313,7,2012,1,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",7,5,2,1,"Car",-1,1,"-1"
81195138,3787.123,9,2012,1,"","","MIAMI","","FL","MIAMI-DADE","",63,"25.7289N,80.2374W","25.7930N,80.1349W",21,4,2,1,"Car",-1,1,"-1"
81217731,5934.22,8,2012,1,"","","ROCKPORT","","TX","ARANSAS","",3,"28.0272N,97.0548W","28.0625N,97.0412W",3,2,2,4,"Car",-1,1,"-1"
81221792,3125.686,8,2012,1,"","","MOBILE","","AL","MOBILE","",19,"30.6863N,88.0532W","30.5363N,87.8862W",5,3,2,1,"Car",-1,1,"-1"
81229154,90887.23,12,2012,1,"","","KEY WEST","","FL","MONROE","",61,"24.5544N,81.8003W","24.6611N,81.4447W",8,2,2,1,"Plane",1,2,"-1"
81239788,5943.977,7,2012,1,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",9,5,2,4,"Car",-1,1,"-1"
81251968,593.4024,1,2013,1,"","","FORT MYERS","","FL","LEE","",57,"26.6408N,81.8681W","26.4486N,81.9427W",14,10,2,3,"Plane",1,2,"-1"
81257429,26024.23,12,2012,1,"","","MIAMI BEACH","","FL","MIAMI-DADE","",63,"25.7930N,80.1349W","25.7930N,80.1349W",10,4,2,1,"Car",-1,1,"-1"
81269477,11724.05,12,2012,1,"","","BOCA GRANDE","FORT MYERS","FL","","",55,"26.7487N,82.2600W","26.8000N,82.2774W",6,5,2,4,"Plane",2,2,"-1"
81277294,565.6317,1,2013,1,"","","SEA ISLAND","SAINT SIMONS","GA","","",82,"31.2017N,81.3316W","31.1352N,81.4005W",5,3,2,1,"Car",-1,1,"-1"
81277294,1078.996,10,2012,1,"JEKYLL ISLAND","","","","GA","","",82,"31.0685N,81.4134W","31.1352N,81.4005W",6,6,2,1,"Car",-1,1,"-1"
81297386,7501.385,8,2012,1,"","","FORT WALTON BEACH","","FL","OKALOOSA","",26,"30.4042N,86.6146W","30.4042N,86.6146W",9,7,2,3,"Car",-1,1,"-1"
81305058,10914.62,9,2012,1,"","","SAVANNAH","","GA","CHATHAM","",83,"32.0807N,81.0907W","31.8808N,81.1772W",4,3,2,1,"Car",-1,1,"-1"
81321348,3710.206,7,2012,1,"","","VENICE","","FL","SARASOTA","",53,"27.0994N,82.4500W","27.1316N,82.4735W",9,7,2,4,"Plane",1,2,"-1"
81321889,2245.11,10,2012,1,"","","BRADENTON","","FL","MANATEE","",50,"27.4955N,82.5780W","27.5157N,82.5729W",10,4,2,1,"Car",-1,1,"-1"
81350188,67625.22,11,2012,1,"","","MIAMI","","FL","MIAMI-DADE","",63,"25.7289N,80.2374W","25.7930N,80.1349W",4,2,2,1,"Car",-1,1,"-1"
81350188,67625.22,11,2012,.07307851,"","","NEW ORLEANS","","LA","ORLEANS","",12,"29.9537N,90.0777W","29.9537N,90.0777W",,,,,"",,,""
81350188,39337.7,8,2012,.34733353,"","","NEW ORLEANS","","LA","ORLEANS","",12,"29.9537N,90.0777W","29.9537N,90.0777W",,,,,"",,,""
81350188,67625.22,9,2012,.15423451,"","","NEW ORLEANS","","LA","ORLEANS","",12,"29.9537N,90.0777W","29.9537N,90.0777W",,,,,"",,,""
81350188,67625.22,10,2012,.10164172,"","","NEW ORLEANS","","LA","ORLEANS","",12,"29.9537N,90.0777W","29.9537N,90.0777W",,,,,"",,,""
81350188,33812.61,7,2012,.32371174,"","","NEW ORLEANS","","LA","ORLEANS","",12,"29.9537N,90.0777W","29.9537N,90.0777W",,,,,"",,,""
81386329,20366.26,7,2012,1,"","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",7,4,2,4,"Car",-1,1,"-1"
