corel,est,bias,tstat
0.0,base,0.094381784235176,5.100693219745215e15
0.05,base,0.09409019723904173,5.084934926699578e15
0.1,base,0.08540722791010742,4.615679517488482e15
0.15,base,0.08307347100058071,2.244777918255534e15
0.2,base,0.07669938659400988,Inf
0.25,base,0.06889049589639595,Inf
0.3,base,0.06761343734382814,3.654046214722834e15
0.35,base,0.06216512915847261,Inf
0.4,base,0.05736521086512514,Inf
0.45,base,0.04994060584253579,1.349474963178606e15
0.5,base,0.04561720591656199,2.465299578810141e15
0.55,base,0.04193928614165171,2.266533041276727e15
0.6,base,0.03291408257803363,8.89391100202044e14
0.65,base,0.03380022823006962,1.826672343143751e15
0.7,base,0.030941717768566357,Inf
0.75,base,0.025583589664616546,Inf
0.8,base,0.021076404904631807,Inf
0.85,base,0.014867874681914972,Inf
0.9,base,0.00458639941874206,1.23931840279314e14
0.95,base,0.002249070234327688,1.21546942430979e14
1.0,base,0.005693906499872059,3.07716902293275e14
0.0,groupfe,0.09418406324078932,Inf
0.05,groupfe,0.09378774155244703,5.06858925489025e15
0.1,groupfe,0.08517825702795774,4.603305199334146e15
0.15,groupfe,0.08272848745908061,4.4709118235236825e15
0.2,groupfe,0.07624205892189373,Inf
0.25,groupfe,0.06825770481505344,Inf
0.3,groupfe,0.06705607235881528,Inf
0.35,groupfe,0.06144652966314283,3.3207668171296825e15
0.4,groupfe,0.056438736318592864,Inf
0.45,groupfe,0.04879098060238335,Inf
0.5,groupfe,0.04416364239545273,2.386744361225817e15
0.55,groupfe,0.04014988516416923,2.169828094371849e15
0.6,groupfe,0.03076894047093276,1.662851866073733e15
0.65,groupfe,0.031186329389172485,Inf
0.7,groupfe,0.02758940970482504,7.45509931596132e14
0.75,groupfe,0.021595410920966618,5.83542507459468e14
0.8,groupfe,0.016336910092361656,Inf
0.85,groupfe,0.009376681355160288,5.06745823884861e14
0.9,groupfe,-0.0017170483086602628,-Inf
0.95,groupfe,-0.004867316181467962,-1.31522660046921e14
1.0,groupfe,-0.0023289630290670438,-6.2932302179196e13
0.0,cf,-6.17428033494738e-5,-1.668389196945e12
0.05,cf,0.00459769839619073,Inf
0.1,cf,-8.41094120280772e-5,-Inf
0.15,cf,0.002396411457186387,6.4754866473666e13
0.2,cf,0.000969313842127062,Inf
0.25,cf,-0.0032393747215551105,-8.7533080733454e13
0.3,cf,0.005527950582282448,2.98748114189877e14
0.35,cf,0.006511322026830024,1.75946324722326e14
0.4,cf,0.007834686115601786,2.11705736824734e14
0.45,cf,0.0018502764121718362,Inf
0.5,cf,0.004230109831463658,Inf
0.55,cf,0.0051503366008551765,Inf
0.6,cf,0.0009067051478174881,4.9001243590149e13
0.65,cf,0.008649021409649349,4.67420755171395e14
0.7,cf,0.011107031009860102,Inf
0.75,cf,0.010820654797218221,5.84782762951881e14
0.8,cf,0.007169898485285153,Inf
0.85,cf,0.0037971853947598166,1.02606016373382e14
0.9,cf,-0.005705712539199936,-Inf
0.95,cf,-0.004718294226617958,-1.27495848724926e14
1.0,cf,0.0022812176607545642,Inf
