sim,est,nonlinear,wtp
sim2,1,1,-0.4646288149661966
sim2,1,1,-0.4541687744369306
sim2,1,1,-0.4687885614289699
sim2,1,1,-0.4369874610555306
sim2,1,1,-0.45410130695612055
sim2,1,1,-0.47325988508934974
sim2,1,1,-0.4718739602746408
sim2,1,1,-0.48081200482480835
sim2,1,1,-0.43032054226640615
sim2,1,1,-0.4438734095990325
sim2,2,1,-0.4650837025349494
sim2,2,1,-0.4549464205979849
sim2,2,1,-0.46973894568250657
sim2,2,1,-0.43742512703537556
sim2,2,1,-0.45573774982847226
sim2,2,1,-0.47285394144339277
sim2,2,1,-0.47268067870317104
sim2,2,1,-0.4817056168607626
sim2,2,1,-0.4312627937390535
sim2,2,1,-0.44408689934883183
sim2,3,1,-0.5073865464752783
sim2,3,1,-0.5125864318522527
sim2,3,1,-0.512861951423372
sim2,3,1,-0.4867165432357732
sim2,3,1,-0.4918326812612277
sim2,3,1,-0.5327525863036219
sim2,3,1,-0.484251392055673
sim2,3,1,-0.5076962198984433
sim2,3,1,-0.4779730676615658
sim2,3,1,-0.4855328826500982
sim2,1,2,-0.4604082454203118
sim2,1,2,-0.4328561267904678
sim2,1,2,-0.4216932768586498
sim2,1,2,-0.43991706843529255
sim2,1,2,-0.4245063708403724
sim2,1,2,-0.4195187181562782
sim2,1,2,-0.4646563128564317
sim2,1,2,-0.46319451564986863
sim2,1,2,-0.4291484264251298
sim2,1,2,-0.47151893491798885
sim2,2,2,-0.4610780906884723
sim2,2,2,-0.43468340047422066
sim2,2,2,-0.4224106765214489
sim2,2,2,-0.4420125618254467
sim2,2,2,-0.4257349403204878
sim2,2,2,-0.42094451988961507
sim2,2,2,-0.46648255568220476
sim2,2,2,-0.4643444563133117
sim2,2,2,-0.43003367750150123
sim2,2,2,-0.4725514752142491
sim2,3,2,-0.5153168226039357
sim2,3,2,-0.5100227421825234
sim2,3,2,-0.4864686367167737
sim2,3,2,-0.49204384496531595
sim2,3,2,-0.4899427406354426
sim2,3,2,-0.5022109300860967
sim2,3,2,-0.5186944586714349
sim2,3,2,-0.5154518693091464
sim2,3,2,-0.49776697202820597
sim2,3,2,-0.5218874313119785
sim2,1,3,-0.39852824764604233
sim2,1,3,-0.4148922086782209
sim2,1,3,-0.41739202938510095
sim2,1,3,-0.4034433574042619
sim2,1,3,-0.4365730323263409
sim2,1,3,-0.42784390814777457
sim2,1,3,-0.41925899668051275
sim2,1,3,-0.4166338590712631
sim2,1,3,-0.42110702042985776
sim2,1,3,-0.43611411098725666
sim2,2,3,-0.39957364963789066
sim2,2,3,-0.4151053660197373
sim2,2,3,-0.41814694460277696
sim2,2,3,-0.40436611074794077
sim2,2,3,-0.4367770526311812
sim2,2,3,-0.4275397181784181
sim2,2,3,-0.41956759593270243
sim2,2,3,-0.4168464490262534
sim2,2,3,-0.4211623423984407
sim2,2,3,-0.436181379368605
sim2,3,3,-0.5104389089800712
sim2,3,3,-0.4902218532064795
sim2,3,3,-0.5117899328663853
sim2,3,3,-0.4946810205919822
sim2,3,3,-0.5367468846635581
sim2,3,3,-0.5224455194067732
sim2,3,3,-0.5363801333323812
sim2,3,3,-0.5184857681662725
sim2,3,3,-0.5255047918381784
sim2,3,3,-0.5191641616293313
sim2,1,4,-0.43277452689215057
sim2,1,4,-0.4408271668895575
sim2,1,4,-0.46347258445513917
sim2,1,4,-0.4381860377649093
sim2,1,4,-0.43622122254932855
sim2,1,4,-0.4603066199581595
sim2,1,4,-0.4547506902743099
sim2,1,4,-0.44097888023910503
sim2,1,4,-0.4374733847529686
sim2,1,4,-0.45310559631778424
sim2,2,4,-0.43324204903012
sim2,2,4,-0.44254932821355103
sim2,2,4,-0.4634970051945264
sim2,2,4,-0.4386653590670946
sim2,2,4,-0.4371152055651748
sim2,2,4,-0.46236858042827433
sim2,2,4,-0.45580099590782697
sim2,2,4,-0.4447154764790087
sim2,2,4,-0.4385628284711812
sim2,2,4,-0.45685350844412165
sim2,3,4,-0.47759002674196843
sim2,3,4,-0.49691905554694543
sim2,3,4,-0.5098951895624384
sim2,3,4,-0.48551653827537633
sim2,3,4,-0.4918686510060299
sim2,3,4,-0.5155292930256622
sim2,3,4,-0.4975494141720453
sim2,3,4,-0.4927466606961719
sim2,3,4,-0.4948587700224184
sim2,3,4,-0.49987635869369623
sim2,1,5,-0.442750332361849
sim2,1,5,-0.41502610950793684
sim2,1,5,-0.43224888080673773
sim2,1,5,-0.4171147545641672
sim2,1,5,-0.4364565447776118
sim2,1,5,-0.4250589974063694
sim2,1,5,-0.4379645442703679
sim2,1,5,-0.45434511803486705
sim2,1,5,-0.41589943976742116
sim2,1,5,-0.4323918541179437
sim2,2,5,-0.44321281866325607
sim2,2,5,-0.4172784492711642
sim2,2,5,-0.43288765084738895
sim2,2,5,-0.41925006281296945
sim2,2,5,-0.43711876832162583
sim2,2,5,-0.42563122047154817
sim2,2,5,-0.4393976408330513
sim2,2,5,-0.4547636509769503
sim2,2,5,-0.41925907469342977
sim2,2,5,-0.43401233120610705
sim2,3,5,-0.5008120082674531
sim2,3,5,-0.4758347722478713
sim2,3,5,-0.5181282125714649
sim2,3,5,-0.5016393148453405
sim2,3,5,-0.4915732132715216
sim2,3,5,-0.5076801022816794
sim2,3,5,-0.492403769374207
sim2,3,5,-0.5177266348611109
sim2,3,5,-0.4963863383814565
sim2,3,5,-0.4987007157044376
sim2,1,6,-0.4069113224422071
sim2,1,6,-0.43377969150696205
sim2,1,6,-0.42370515703727313
sim2,1,6,-0.4154551448080611
sim2,1,6,-0.4077903284442843
sim2,1,6,-0.415859983544082
sim2,1,6,-0.41243309300787606
sim2,1,6,-0.414460573960483
sim2,1,6,-0.4183594562427493
sim2,1,6,-0.4090699731873183
sim2,2,6,-0.4087106184117803
sim2,2,6,-0.4343066556164665
sim2,2,6,-0.42496211314312077
sim2,2,6,-0.41621132027819874
sim2,2,6,-0.40953941877662653
sim2,2,6,-0.41716334648684694
sim2,2,6,-0.4132577597859741
sim2,2,6,-0.4157066723249049
sim2,2,6,-0.41978923607611207
sim2,2,6,-0.4097876038426455
sim2,3,6,-0.48537299445298404
sim2,3,6,-0.5269955544555931
sim2,3,6,-0.4962103665746091
sim2,3,6,-0.5090451002684707
sim2,3,6,-0.49690425278190087
sim2,3,6,-0.48216981388415137
sim2,3,6,-0.5110970062457648
sim2,3,6,-0.5028498019131498
sim2,3,6,-0.5001096910432778
sim2,3,6,-0.49594411437640373
