sim,est,wtp
sim4,base,-0.601542782849564
sim4,base,-0.6068254638485437
sim4,base,-0.57357471641962
sim4,base,-0.5826381251884423
sim4,base,-0.6229501256593334
sim4,base,-0.5878659703067912
sim4,base,-0.5801300297772841
sim4,base,-0.6114250762272193
sim4,base,-0.5803955142614148
sim4,base,-0.5965896316371138
sim4,groupfe,-0.6016199371627907
sim4,groupfe,-0.6068119062832533
sim4,groupfe,-0.5737605301993359
sim4,groupfe,-0.5827006143295863
sim4,groupfe,-0.6231091086063518
sim4,groupfe,-0.5878497923160534
sim4,groupfe,-0.5804785003096993
sim4,groupfe,-0.6116377166453499
sim4,groupfe,-0.5803036214777573
sim4,groupfe,-0.5965334116861178
sim4,cf,-0.5081354203927959
sim4,cf,-0.5145878567750347
sim4,cf,-0.4749833983385879
sim4,cf,-0.48005320938253393
sim4,cf,-0.5218428887606027
sim4,cf,-0.4798773124361369
sim4,cf,-0.4865655498397445
sim4,cf,-0.5117581218438936
sim4,cf,-0.48417256056838903
sim4,cf,-0.5120115560846058
